Job_Title,Location,Locality,State,Work_Mode,Job_Category,Salary,Salary_Type,Monthly_Salary_INR
Digital Marketing Intern,Remote,Remote,Remote,Remote,Sales and Marketing,"5,000 - 6,000 a month",Monthly,5500.0
Delivery Partner/Delivery Executive,"Mangalore, Karnataka",Mangalore,Karnataka,On-site,Logistics and Delivery,"20,000 - 60,000 a month",Monthly,40000.0
Social Media Intern (Remote),Remote,Remote,Remote,Remote,Other,"4,900 - 5,000 a month",Monthly,4950.0
Summer Internship Programme,"Mohali, Punjab",Mohali,Punjab,On-site,Other,"From 10,000 a month",Monthly,19250.0
Wanted female office assistants,"Gandhipuram, Coimbatore, Tamil Nadu",Gandhipuram,Tamil Nadu,On-site,Other,"From 17,000 a month",Monthly,19250.0
UI/UX Freshers (2024),Remote,Remote,Remote,Remote,Design and Creative,"5,00,000 a year",Annual,500000.0
Graphic Designer Internship,Remote,Remote,Remote,Remote,Design and Creative,"7,000 - 10,000 a month",Monthly,8500.0
Trainee,"Rampur, Uttar Pradesh",Rampur,Uttar Pradesh,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Digital Marketing Intern/Fresher,Delhi,Delhi,Delhi,On-site,Sales and Marketing,"Up to 10,000 a month",Monthly,19250.0
Data Entry Operators,Delhi,Delhi,Delhi,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Content Creator Intern,Remote,Remote,Remote,Remote,Other,"5,000 - 10,000 a month",Monthly,7500.0
QA/QC Trainee,"Vadodara, Gujarat",Vadodara,Gujarat,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Document verification,"Nesapakkam, Chennai, Tamil Nadu",Nesapakkam,Tamil Nadu,On-site,Other,"15,000 a month",Monthly,15000.0
Digital Marketing Manager,Remote,Remote,Remote,Remote,Sales and Marketing,"32,500 - 36,500 a month",Monthly,34500.0
Freshers - Delhi,"Delhi, Delhi",Delhi,Delhi,On-site,Other,"7,50,000 a year",Annual,750000.0
QA Engineer Fresher,"Pune, Maharashtra",Pune,Maharashtra,On-site,IT and Technology,"20,000 - 30,000 a month",Monthly,25000.0
Social Media Intern,Remote,Remote,Remote,Remote,Other,"8,086.00 - 22,129.77 a month",Monthly,15107.885
Receptionist Front Desk,"Delhi, Delhi",Delhi,Delhi,On-site,Other,"From 35,000 a month",Monthly,19250.0
Derivatives Trader,Delhi,Delhi,Delhi,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Document verification fresher apply now,"Gurugram, Haryana",Gurugram,Haryana,On-site,Other,"11,109.96 - 32,719.16 a month",Monthly,21914.56
Technical Support Engineer,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,"24,000 - 43,000 a month",Monthly,33500.0
Freshers / Internship,"Pune, Maharashtra",Pune,Maharashtra,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Shipment /Pricing/ Documentation Executive - (Freshers can apply),"Tambaram West, Chennai, Tamil Nadu",Tambaram West,Tamil Nadu,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Fresher software tester internship,"Kochi, Kerala",Kochi,Kerala,On-site,IT and Technology,"10,000 - 15,000 a month",Monthly,12500.0
Fresher Engineer,"Pune, Maharashtra",Pune,Maharashtra,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Python - Fresher,"Pune, Maharashtra",Pune,Maharashtra,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Graduate Student,"Kochi, Kerala",Kochi,Kerala,On-site,Other,"10,000 - 15,000 a month",Monthly,12500.0
FRESHERS BOOTCAMP Job oriented Program,Remote,Remote,Remote,Remote,Other,Not Disclosed,Not Disclosed,19250.0
Project Manager,"Madurai, Tamil Nadu",Madurai,Tamil Nadu,On-site,Management,"15,000 - 35,000 a month",Monthly,25000.0
Cyber Security Trainee,India,India,India,On-site,IT and Technology,"20,000 a month",Monthly,20000.0
SEO Intern/Trainee,Remote,Remote,Remote,Remote,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Corporate Assistant - Freshers,"Banaswadi, Bengaluru, Karnataka",Banaswadi,Karnataka,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Trainee Software Developer Fresher,"Vadodara, Gujarat",Vadodara,Gujarat,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
TRAINEE ENGINEER- NETWORK SECURITY,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,"4,00,000 a year",Annual,400000.0
IT fresher(Trainee engineer),"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,"2,50,000 - 3,00,000 a year",Annual,275000.0
SEO Executive,Remote,Remote,Remote,Remote,Other,"5,000 - 8,000 a month",Monthly,6500.0
Trainee - Junior Data Analyst,"Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Java Fresher,Karnataka,Karnataka,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Academic Advisor (Work from Home),"Perumbavoor, Kerala",Perumbavoor,Kerala,On-site,Education and Training,"12,000 - 25,000 a month",Monthly,18500.0
Research Analyst (Fresher),"Noida, Uttar Pradesh",Noida,Uttar Pradesh,On-site,Other,"3,50,000 a year",Annual,350000.0
Social Media Manager,Remote,Remote,Remote,Remote,Management,"6,500 - 17,000 a month",Monthly,11750.0
QA Fresher,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,On-site,Other,"Up to 2,50,000 a year",Annual,19250.0
Google Ads Specialist,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,On-site,Other,"4,00,000 - 7,00,000 a year",Annual,550000.0
Alt-Text Writer - General,Remote,Remote,Remote,Remote,Other,"20,000 - 25,000 a month",Monthly,22500.0
Talent Acquisition Specialist- Freshers,Remote,Remote,Remote,Remote,HR and Recruitment,Not Disclosed,Not Disclosed,19250.0
Accounts Assistant,"Pollachi, Tamil Nadu",Pollachi,Tamil Nadu,On-site,Other,"From 15,000 a month",Monthly,19250.0
Graduate Trainee (full Time),Goa,Goa,Goa,On-site,IT and Technology,"3,25,000 - 4,75,000 a year",Annual,400000.0
Voice Process Trainee,Remote,Remote,Remote,Remote,IT and Technology,"10,000 - 25,000 a month",Monthly,17500.0
Quality Engineer Trainee,"Bommasandra Industrial Estate, Bengaluru, Karnataka",Bommasandra Industrial Estate,Karnataka,On-site,IT and Technology,"4,00,000 a year",Annual,400000.0
freshers,"Aruppukkottai, Tamil Nadu",Aruppukkottai,Tamil Nadu,On-site,Other,"7,000 - 10,000 a month",Monthly,8500.0
Finance Intern,Remote,Remote,Remote,Remote,Finance and Accounts,"10,000 - 20,000 a month",Monthly,15000.0
HR Recruiter,Remote,Remote,Remote,Remote,HR and Recruitment,"10,000 - 15,000 a month",Monthly,12500.0
Power BI Fresher,"Mumbai, Maharashtra",Mumbai,Maharashtra,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Field Officer,"Kokrajhar, Assam",Kokrajhar,Assam,On-site,Other,"15,000 a month",Monthly,15000.0
HR Executive Fresher,Remote,Remote,Remote,Remote,HR and Recruitment,"From 9,306.88 a month",Monthly,19250.0
Jewel Data Entry,"Kavundampalayam, Coimbatore, Tamil Nadu",Kavundampalayam,Tamil Nadu,On-site,IT and Technology,"10,000 - 17,000 a month",Monthly,13500.0
Operations Co-ordinator,"Kottayam, Kerala",Kottayam,Kerala,On-site,Other,"15,000 - 20,000 a month",Monthly,17500.0
Data Analyst,"Tambaram, Chennai, Tamil Nadu",Tambaram,Tamil Nadu,On-site,IT and Technology,"18,000 - 36,000 a month",Monthly,27000.0
Fresher opening for Manual Testing,"Ashapur, Varanasi, Uttar Pradesh",Ashapur,Uttar Pradesh,On-site,Other,"10,161.00 - 30,193.25 a month",Monthly,20177.125
Quality Analyst,"Kottivakkam, Chennai, Tamil Nadu",Kottivakkam,Tamil Nadu,On-site,Other,"17,800 - 35,900 a month",Monthly,26850.0
Production Fresher,"Chakan, Pune, Maharashtra",Chakan,Maharashtra,On-site,Other,"20,000 - 25,000 a month",Monthly,22500.0
GET (Graduate Engineer Trainee),"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,"1,00,000 - 1,20,000 a year",Annual,110000.0
jewellery cad designer,Remote,Remote,Remote,Remote,Design and Creative,"15,000 - 30,000 a month",Monthly,22500.0
IT Recruiters Freshers,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Factory Helpers / Helpers,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,Other,"14,700 - 20,650 a month",Monthly,17675.0
Fresher Software Developer,"Gadarwara, Madhya Pradesh",Gadarwara,Madhya Pradesh,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Project Manager,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,Management,Not Disclosed,Not Disclosed,19250.0
Data Analyst,"Saidapet, Chennai, Tamil Nadu",Saidapet,Tamil Nadu,On-site,IT and Technology,"17,500 - 30,000 a month",Monthly,23750.0
TEACHER,"Cannanore, Kerala",Cannanore,Kerala,On-site,Education and Training,"10,000 - 30,000 a month",Monthly,20000.0
Hybrid Mobile App Developer,"Kuzhittura, Tamil Nadu",Kuzhittura,Tamil Nadu,On-site,IT and Technology,"8,000 - 35,000 a month",Monthly,21500.0
Fellow - GI-HPB Surgery,"Kolkata, West Bengal",Kolkata,West Bengal,On-site,Other,Not Disclosed,Not Disclosed,19250.0
